"lon" "lat"
"184" 91.7362365 26.1445169
"185" -1.759398 53.795984
"186" 81.8040345 17.0005383
"187" 4.4257868 50.9272511
"188" -95.712891 37.09024
"189" NA NA
"190" -3.7837117 52.1306607
"191" 78.486671 17.385044
"192" -48.3810895 -19.9241621
"193" -0.003371 51.5501741
"194" -3.649623 52.592615
"195" 79.8423888 10.7656082
"196" 16.56541 49.280078
"197" 118.763232 32.061707
"198" 118.796877 32.060255
"199" 80.2707184 13.0826802
"200" -46.6333094 -23.5505199
"201" 78.96288 20.593684
"202" 71.4687028 30.1983807
"203" -8.5335055 37.1417854
"204" 77.5945627 12.9715987
"205" 73.8567437 18.5204303
"206" -3.435973 55.378051
"207" NA NA
"208" 101.696445 2.926361
"209" 77.1024902 28.7040592
"210" 77.2090212 28.6139391
"211" 78.96288 20.593684
"212" -0.1277583 51.5073509
"213" 79.7036402 12.8341735
"214" -51.92528 -14.235004
"215" -1.470085 53.381129
"216" 76.7794179 30.7333148
"217" 85.896004 26.111868
"218" 80.2707184 13.0826802
"219" 77.673673 27.4924134
"220" NA NA
"221" 7.655573 45.0021286
"222" 83.2184815 17.6868159
"223" -11.779889 8.460555
"224" 78.96288 20.593684
"225" 75.5626039 21.0076578
"226" 78.96288 20.593684
"227" -4.2026458 56.4906712
"228" 75.7138884 19.7514798
"229" 77.2090212 28.6139391
"230" 1.9588007 41.4946573
"231" 78.486671 17.385044
"232" 75.7872709 26.9124336
"233" NA NA
"234" NA NA
"235" 73.712479 24.585445
"236" 80.2339031 12.9908081
"237" 77.5945627 12.9715987
"238" 78.96288 20.593684
"239" 88.363895 22.572646
"240" NA NA
"241" -71.3824374 42.4072107
"242" 91.8123324 22.3475365
"243" 75.8069082 12.3374942
"244" 78.6568942 11.1271225
"245" 78.96288 20.593684
"246" 77.590597 11.2680739
"247" 101.975766 4.210484
"248" 35.21371 31.768319
"249" 77.5847773 12.9507432
"250" 78.1348361 8.7641661
"251" 119.8554841 -0.8953077
"252" 115.0919509 -8.3405389
"253" 29.0609636 40.1885281
"254" 80.2707184 13.0826802
"255" 77.2090212 28.6139391
"256" 77.7489129 8.7101719
"257" 7.6868565 45.070312
"258" -91.9795897 15.6397021
"259" 78.96288 20.593684
"260" 103.819836 1.352083
"261" 31.2088526 30.0130557
"262" -1.023194 7.946527
"263" -83.985 42.43472
"264" 71.4180622 25.7531537
"265" 77.0266383 28.4594965
"266" 87.8549755 22.9867569
"267" -102.4107493 34.2331373
"268" -46.6333094 -23.5505199
"269" 92.9375739 26.2006043
"270" 78.486671 17.385044
"271" -43.1728965 -22.9068467
"272" 77.5945627 12.9715987
"273" 79.861243 6.9270786
"274" 77.2303284 28.6505942
"275" 82.1391412 22.0796251
"276" 73.422441 18.0820208
"277" 77.5970222 13.0357695
"278" 80.2707184 13.0826802
"279" 90.356331 23.684994
"280" -105.7820674 39.5500507
"281" 71.1923805 22.258652
"282" 77.3910265 28.5355161
"283" 79.9864071 23.181467
"284" 175.279253 -37.7870012
"285" 145.9706648 -41.4545196
"286" NA NA
"287" -70.8967155 42.51954
"288" 153.3383577 -27.9975369
"289" 77.221837 8.307531
"290" -93.2650108 44.977753
"291" 90.4125181 23.810332
"292" 84.7459203 24.5976313
"293" -57.5426106 -38.0054771
"294" NA NA
"295" NA NA
"296" 77.1024902 28.7040592
"297" 78.96288 20.593684
"298" -58.4886936 -34.6057934
"299" 79.8144722 11.9138598
"300" 78.0080745 27.1766701
"301" 80.9461592 26.8467088
"302" 78.96288 20.593684
"303" 2.3522219 48.856614
"304" 81.5541579 20.7014999
"305" 28.3228165 -15.3875259
"306" 98.9817163 18.7060641
"307" 77.0266383 28.4594965
"308" -1.1743197 52.3555177
"309" 78.96288 20.593684
"310" 80.2707184 13.0826802
"311" 78.6568942 11.1271225
"312" -1.2577263 51.7520209
"313" 121.662532 14.7259749
"314" 80.946166 26.8466937
"315" 77.5945627 12.9715987
"316" 75.7216527 29.1491875
"317" 104.195397 35.86166
"318" 5.5167162 50.8718971
"319" 77.5945627 12.9715987
"320" -5.812819 35.7866443
"321" -7.6920536 53.1423672
"322" 36.8219462 -1.2920659
"323" 83.2184815 17.6868159
"324" 90.4125181 23.810332
"325" 18.643501 60.128161
"326" 88.3459362 22.5332356
"327" -83.711604 41.621718
"328" 84.999431 24.7954523
"329" 103.819836 1.352083
"330" 80.946166 26.8466937
"331" 88.363895 22.572646
"332" 77.2090212 28.6139391
"333" -95.712891 37.09024
"334" 85.3239605 27.7172453
"335" -6.6593079 53.2205654
"336" 76.9398195 13.3117814
"337" 77.6750869 12.9752911
"338" 1.659626 28.033886
"339" 72.8776559 19.0759837
"340" -0.833861 51.410457
"341" 103.3184639 2.030068
"342" 72.8310607 21.1702401
"343" 77.2090212 28.6139391
"344" -79.0192997 35.7595731
"345" 26.1025384 44.4267674
"346" 72.5713621 23.022505
"347" 77.1126009 18.3942882
"348" 85.4118511 26.1111745
"349" 72.8310607 21.1702401
"350" -79.3831843 43.653226
"351" 88.363895 22.572646
"352" -0.1277583 51.5073509
"353" -122.4194155 37.7749295
"354" -118.2436849 34.0522342
"355" 78.96288 20.593684
"356" 79.9864071 23.181467
"357" 85.1375645 25.5940947
"358" 72.6369415 23.2156354
"359" 76.3984537 29.7856734
"360" 74.5697617 42.8746212
"361" -8.9796492 39.548667
"362" 27.8076959 -26.0963217
"363" 78.486671 17.385044
"364" 78.486671 17.385044
"365" 75.3412179 31.1471305
"366" -79.3831843 43.653226
"367" 35.243322 38.963745
"368" 30.3350986 59.9342802
"369" NA NA
"370" 113.266531 23.132191
"371" 78.6568942 11.1271225
"372" 70.8021599 22.3038945
"373" 130.28062 47.290148
"374" 113.921327 -0.789275
"375" 80.9461592 26.8467088
"376" -83.753428 9.748917
"377" -102.4107493 34.2331373
"378" 92.9375739 26.2006043
"379" 76.2710833 10.8505159
"380" 83.4323375 27.6873608
"381" 71.504141 29.5153094
"382" NA NA
"383" 71.4687028 30.1983807
"384" 92.5966036 24.8609929
"385" 77.2090212 28.6139391
"386" 73.1812187 22.3071588
"387" 78.486671 17.385044
"388" 68.5247149 25.8943018
"389" 77.3209555 19.1382514
"390" -117.1825381 34.0555693
"391" 78.96288 20.593684
"392" 76.9635023 29.3909464
"393" 77.2090212 28.6139391
"394" 77.0266383 28.4594965
"395" 78.96288 20.593684
"396" 76.7794179 30.7333148
"397" -100.850791 25.4546718
"398" 80.1514447 17.2472528
"399" 116.407395 39.904211
"400" 90.4136962 23.7969427
"401" 78.5531577 14.7491864
"402" NA NA
"403" 101.7408184 3.160496
"404" -77.1945247 41.2033216
"405" -83.7430378 42.2808256
"406" 77.5945627 12.9715987
"407" -116.419389 38.8026097
"408" -98.4842465 39.011902
"409" 24.5022981 44.200797
"410" 75.78041 11.2587531
"411" 78.486671 17.385044
"412" 20.168331 41.153332
"413" 78.96288 20.593684
"414" -8.6291053 41.1579438
"415" 78.7046725 10.7904833
"416" 83.1876753 19.9782864
"417" 78.1460142 11.664325
"418" NA NA
"419" -4.2026458 56.4906712
"420" -2.2525019 51.345178
"421" 77.5945627 12.9715987
"422" -6.4923145 54.7877149
"423" -70.8967155 42.51954
"424" 76.606611 28.8955152
"425" 85.309562 23.3440997
"426" 76.2710833 10.8505159
"427" -105.5108312 39.9613759
"428" 85.1090319 25.6020041
"429" 101.975766 4.210484
"430" -78.6381787 35.7795897
"431" 75.8577258 22.7195687
"432" 77.2090212 28.6139391
"433" 0.891874 51.895927
"434" 72.9780897 19.2183307
"435" 78.96288 20.593684
"436" NA NA
"437" 9.1582069 45.1847248
"438" 78.486671 17.385044
"439" 72.5713621 23.022505
"440" 87.2319753 22.34601
"441" -70.162651 18.735693
